cod_ibge6,municipio,competencia,mes_internacao,capitulo,subgrupo,faixa_etaria,internacoes,obitos,dias_permanencia,valor_total_rs
350570,Barueri,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),5-64,15,0,77,12890.71
350570,Barueri,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),65+,16,5,94,12170.56
350660,Biritiba Mirim,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),5-64,3,0,9,19900.5
350660,Biritiba Mirim,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),65+,2,1,40,2387.26
350660,Biritiba Mirim,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,0-4,2,0,10,2372.84
350660,Biritiba Mirim,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),5-64,3,1,17,5056.82
350660,Biritiba Mirim,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),5-64,8,0,26,7513.46
350660,Biritiba Mirim,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),65+,6,2,12,2436.27
350660,Biritiba Mirim,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,1,0,2,623.6
350660,Biritiba Mirim,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,5-64,1,1,0,1375.63
350660,Biritiba Mirim,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),0-4,3,0,14,2157.3
350660,Biritiba Mirim,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),5-64,2,1,18,2574.34
350660,Biritiba Mirim,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),65+,5,2,42,4474.94
350900,Caieiras,2025-07,2025-04,respiratorio (J00-J99),pneumonia (J12-J18),65+,1,1,0,582.42
350900,Caieiras,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),5-64,3,0,4,10155.65
350900,Caieiras,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),65+,3,1,14,6051.97
350900,Caieiras,2025-07,2025-05,respiratorio (J00-J99),DPOC e asma (J40-J47),0-4,1,0,1,479.19
350900,Caieiras,2025-07,2025-05,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,1,0,5,479.19
350900,Caieiras,2025-07,2025-05,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,3,1,20,1437.57
350900,Caieiras,2025-07,2025-05,respiratorio (J00-J99),outras respiratorias,0-4,1,0,2,187.13
350900,Caieiras,2025-07,2025-05,respiratorio (J00-J99),outras respiratorias,65+,1,0,1,407.88
350900,Caieiras,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),0-4,2,0,8,1164.84
350900,Caieiras,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),5-64,1,0,2,582.42
350900,Caieiras,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),65+,2,1,8,1164.84
350900,Caieiras,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),5-64,13,1,105,43589.41
350900,Caieiras,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),65+,9,0,47,28841.68
350900,Caieiras,2025-07,2025-06,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,7,0,16,3354.33
350900,Caieiras,2025-07,2025-06,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,1,0,0,479.19
350900,Caieiras,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,0-4,8,0,39,12064.9
350900,Caieiras,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,5-64,5,1,32,19666.88
350900,Caieiras,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,65+,3,0,27,2181.76
350900,Caieiras,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),0-4,2,0,6,1164.84
350900,Caieiras,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),5-64,6,0,75,23274.38
350900,Caieiras,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),65+,9,1,53,5484.32
350900,Caieiras,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),5-64,25,2,45,86790.47
350900,Caieiras,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),65+,13,1,52,27562.07
350900,Caieiras,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,1,1,8,610.72
350900,Caieiras,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,0-4,2,0,11,7074.81
350900,Caieiras,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,5-64,5,0,0,5572.89
350900,Caieiras,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,65+,1,1,9,5828.7
350900,Caieiras,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),5-64,1,0,4,1128.53
350900,Caieiras,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),65+,5,1,35,11975.58
350920,Cajamar,2025-07,2025-04,circulatorio (I00-I99),circulatorio (I00-I99),5-64,1,0,23,5902.6
350920,Cajamar,2025-07,2025-04,circulatorio (I00-I99),circulatorio (I00-I99),65+,1,0,30,17493.79
